"Kerncijfers wijken en buurten 2015"
""
"";"Onderwerp"
"";"Inkomen|Inkomen van personen|Aantal inkomensontvangers  ";"Inkomen|Inkomen van personen|Gemiddeld inkomen per inkomensontvanger ";"Inkomen|Inkomen van personen|Gemiddeld inkomen per inwoner ";"Inkomen|Inkomen van personen|40% personen met laagste inkomen";"Inkomen|Inkomen van personen|20% personen met hoogste inkomen";"Inkomen|Inkomen van personen|Actieven 15-75 jaar";"Inkomen|Inkomen van huishoudens|40% huishoudens met laagste inkomen";"Inkomen|Inkomen van huishoudens|20% huishoudens met hoogste inkomen";"Inkomen|Inkomen van huishoudens|Huishoudens met een laag inkomen";"Inkomen|Inkomen van huishoudens|Huish. onder of rond sociaal minimum"
"Wijken en buurten";"aantal";"x 1 000 euro";"x 1 000 euro";"%";"%";"%";"%";"%";"%";"%"
"Amsterdam";"641700";"33,5";"26,9";"40,9";"22,9";"59,3";"53,1";"16,1";"14,9";"14,1"
"Stadsdeel Centrum";"71000";"41,8";"35,8";"36,2";"30,5";"63,6";"52,1";"19,5";"13,7";"13,3"
"Burgwallen-Oude Zijde";"3700";"33,4";"30,1";"40,6";"25,2";"68,3";"60,5";"12,9";"16,3";"15,1"
"Burgwallen-Nieuwe Zijde";"3700";"39,9";"35,9";"39,4";"25,7";"69,4";"60,5";"13,8";"14,5";"14,1"
"Grachtengordel-West";"5700";"62,5";"52,5";"28,8";"42,6";"64,3";"38,7";"32,8";"8,4";"8,0"
"Grachtengordel-Zuid";"3600";"65,6";"55,0";"29,9";"40,4";"65,0";"41,5";"29,9";"8,9";"8,6"
"Nieuwmarkt/Lastage";"8000";"38,4";"33,5";"36,0";"30,0";"62,6";"52,1";"18,0";"12,8";"13,4"
"Haarlemmerbuurt";"7500";"41,8";"35,0";"35,9";"31,4";"63,8";"49,7";"21,3";"14,7";"13,9"
"Jordaan";"16300";"37,0";"32,2";"38,0";"26,7";"62,9";"57,1";"15,3";"15,2";"14,6"
"De Weteringschans";"6000";"47,4";"39,9";"31,2";"36,9";"67,1";"46,0";"24,4";"10,5";"10,5"
"Weesperbuurt/Plantage";"5900";"39,8";"34,4";"38,1";"30,2";"61,3";"54,9";"18,8";"16,6";"15,9"
"Oostelijke Eilanden/Kadijken";"10500";"33,7";"28,4";"39,1";"26,0";"59,6";"52,5";"17,1";"14,7";"14,0"
"Stadsdeel Westpoort";"300";"27,0";"24,9";"52,5";"14,3";"67,9";"72,1";"6,8";"32,0";"30,3"
"Westelijk Havengebied";"200";"22,3";"20,3";"59,9";"12,5";"64,6";"74,6";"7,4";"41,5";"39,6"
"Bedrijventerrein Sloterdijk";"100";"33,3";"31,4";"42,5";"16,8";"72,2";".";".";".";"."
"Stadsdeel West";"115400";"32,0";"26,5";"40,2";"23,3";"62,8";"56,2";"13,6";"17,0";"16,1"
"Houthavens";"1300";"25,8";"23,3";"58,9";"17,7";"47,2";"75,2";"10,3";"15,4";"14,0"
"Spaarndammer- en Zeeheldenbuurt";"8700";"28,7";"23,8";"42,3";"19,3";"59,6";"59,3";"11,0";"19,1";"18,0"
"Staatsliedenbuurt";"10800";"33,6";"28,2";"36,5";"26,1";"67,6";"53,7";"14,5";"15,4";"14,9"
"Centrale Markt";"2000";"33,8";"27,6";"37,3";"28,0";"61,3";"42,4";"22,0";"10,5";"11,1"
"Frederik Hendrikbuurt";"6900";"35,1";"30,2";"35,8";"28,0";"67,1";"53,0";"15,9";"16,0";"14,5"
"Da Costabuurt";"3900";"37,6";"32,2";"33,4";"30,9";"67,5";"49,7";"18,5";"11,8";"12,2"
"Kinkerbuurt";"5300";"30,3";"26,5";"45,4";"21,3";"59,7";"63,5";"10,5";"27,0";"25,9"
"Van Lennepbuurt";"6000";"30,2";"25,9";"41,9";"20,2";"60,5";"61,6";"9,9";"18,2";"17,1"
"Helmersbuurt";"6100";"44,3";"36,6";"31,7";"35,4";"69,1";"48,0";"22,8";"11,1";"10,9"
"Overtoomse Sluis";"6400";"41,8";"35,5";"30,1";"35,4";"71,9";"46,6";"22,0";"10,5";"10,3"
"Vondelbuurt";"1400";"68,6";"53,9";"33,6";"37,3";"64,3";"44,6";"30,4";"12,9";"12,0"
"Sloterdijk";"400";"44,6";"40,4";"17,8";"43,8";"85,0";"21,9";"25,3";"4,5";"4,0"
"Landlust";"14700";"26,9";"21,3";"44,4";"16,7";"59,0";"58,9";"9,8";"18,7";"16,8"
"Erasmuspark";"4800";"30,9";"25,5";"35,1";"23,8";"68,2";"49,0";"12,2";"10,6";"10,5"
"De Kolenkit";"6700";"22,3";"16,7";"53,6";"11,6";"48,6";"64,8";"8,0";"21,5";"19,1"
"De Krommert";"10500";"31,8";"26,2";"38,8";"24,4";"65,8";"53,4";"15,4";"14,4";"14,1"
"Van Galenbuurt";"5600";"24,4";"20,6";"52,9";"14,2";"51,7";"70,4";"6,0";"32,4";"30,6"
"Hoofdweg en omgeving";"8300";"28,8";"23,5";"41,4";"19,2";"62,6";"60,0";"10,0";"18,6";"17,5"
"Westindische buurt";"5600";"35,4";"29,9";"33,8";"29,4";"68,8";"49,9";"17,5";"11,8";"11,1"
"Stadsdeel Nieuw-West";"108800";"27,2";"20,7";"45,2";"16,8";"54,5";"52,6";"13,9";"15,2";"13,5"
"Spieringhorn";"0";".";".";".";".";".";".";".";".";"."
"Slotermeer-Noordoost";"6800";"22,8";"16,8";"51,1";"10,4";"51,5";"61,7";"7,3";"21,9";"18,7"
"Slotermeer-Zuidwest";"12500";"22,7";"17,0";"51,9";"10,3";"47,6";"62,5";"7,3";"21,8";"18,9"
"Geuzenveld";"10500";"23,3";"16,8";"49,3";"11,4";"52,9";"56,2";"9,0";"18,8";"15,9"
"Eendracht";"1900";"28,7";"23,2";"39,4";"18,8";"58,3";"35,6";"22,1";"8,3";"7,9"
"Lutkemeer en Ookmeer";"700";"32,3";"25,3";"44,9";"21,7";"57,6";"38,1";"28,0";"12,4";"10,9"
"Osdorp-Oost";"12400";"25,9";"20,8";"46,5";"14,1";"51,5";"59,5";"9,7";"13,9";"13,5"
"Osdorp-Midden";"11200";"25,5";"18,6";"47,1";"15,4";"54,8";"53,5";"10,6";"17,2";"15,1"
"De Punt";"4000";"24,3";"18,8";"45,9";"11,5";"53,2";"54,8";"8,4";"15,8";"15,6"
"Middelveldsche Akerpolder en Sloten";"11400";"33,7";"25,8";"37,4";"25,4";"61,0";"33,1";"29,8";"7,6";"6,4"
"Slotervaart";"13000";"26,3";"20,2";"46,4";"15,8";"52,5";"57,0";"12,2";"15,2";"13,7"
"Overtoomse Veld";"8500";"24,4";"18,7";"50,8";"14,7";"50,9";"58,0";"10,1";"16,7";"14,1"
"Westlandgracht";"5600";"36,3";"28,7";"35,4";"29,9";"64,6";"49,7";"19,8";"13,2";"12,3"
"Sloten- en Riekerpolder";"10400";"34,3";"27,6";"34,4";"27,3";"62,1";"29,6";"30,0";"5,8";"5,4"
"Stadsdeel Zuid";"114000";"44,9";"37,1";"34,0";"31,9";"63,8";"48,6";"21,6";"11,3";"11,4"
"Oude Pijp";"12800";"36,3";"31,5";"38,2";"26,9";"66,6";"56,8";"15,0";"15,2";"14,8"
"Nieuwe Pijp";"10300";"35,2";"30,6";"37,1";"28,1";"66,7";"55,2";"14,9";"15,0";"14,8"
"Diamantbuurt";"6900";"26,5";"22,4";"48,7";"16,0";"52,2";"63,1";"9,4";"20,2";"19,4"
"Hoofddorppleinbuurt";"9600";"39,9";"33,7";"29,8";"34,2";"71,5";"45,7";"20,7";"9,2";"9,0"
"Schinkelbuurt";"3200";"38,4";"33,1";"34,9";"30,1";"67,2";"53,4";"16,4";"13,3";"12,8"
"Willemspark";"4000";"82,6";"59,9";"26,0";"47,6";"67,8";"29,7";"44,6";"6,4";"6,8"
"Museumkwartier";"8600";"84,1";"64,6";"26,3";"45,6";"62,1";"32,5";"40,2";"6,4";"6,5"
"Stadionbuurt";"9500";"38,4";"32,0";"36,3";"28,7";"61,5";"52,0";"18,2";"13,2";"13,0"
"Apollobuurt";"6100";"76,4";"55,6";"25,2";"50,6";"62,6";"29,2";"46,2";"6,0";"6,0"
"Duivelseiland";"1100";"49,9";"42,7";"24,5";"42,7";"75,3";"41,1";"25,4";"7,9";"7,7"
"Scheldebuurt";"11800";"43,1";"35,5";"30,0";"36,2";"67,2";"44,7";"25,2";"7,9";"8,9"
"IJselbuurt";"4400";"32,0";"27,4";"39,9";"23,1";"62,3";"58,0";"13,6";"14,9";"15,5"
"Rijnbuurt";"7700";"32,4";"28,0";"39,1";"23,7";"61,0";"58,9";"13,2";"15,0";"15,4"
"Station-Zuid WTC en omgeving";"1000";"66,3";"50,3";"22,8";"47,4";"62,1";"26,8";"37,9";"4,4";"3,6"
"Buitenveldert-West";"10900";"42,3";"34,8";"33,2";"29,7";"59,5";"46,2";"20,7";"7,1";"8,2"
"Buitenveldert-Oost";"6000";"38,3";"31,9";"32,8";"28,0";"58,4";"48,6";"17,4";"8,7";"8,4"
"Stadsdeel Oost";"98600";"34,2";"26,9";"40,1";"26,4";"60,8";"51,0";"19,1";"14,5";"13,5"
"Weesperzijde";"4100";"40,6";"34,1";"33,8";"34,1";"68,4";"47,1";"22,5";"12,6";"11,7"
"Oosterparkbuurt";"8900";"29,8";"25,0";"44,1";"21,3";"59,0";"57,8";"13,1";"18,2";"16,9"
"Dapperbuurt";"7300";"28,6";"24,0";"46,2";"20,3";"55,6";"59,5";"12,1";"19,6";"19,4"
"Transvaalbuurt";"7200";"25,6";"20,7";"49,3";"15,4";"53,5";"61,2";"9,9";"20,7";"19,8"
"Indische Buurt West";"10000";"27,4";"22,2";"45,2";"18,1";"57,7";"58,4";"10,4";"18,7";"17,2"
"Indische Buurt Oost";"7800";"25,1";"19,8";"48,6";"14,8";"54,3";"60,6";"9,5";"20,4";"19,7"
"Oostelijk Havengebied";"14200";"44,0";"34,5";"28,9";"39,1";"70,0";"31,2";"31,5";"9,2";"7,9"
"Zeeburgereiland/Nieuwe Diep";"800";"17,3";"15,4";"72,4";"8,8";"37,0";"86,3";"6,5";"17,2";"14,7"
"IJburg West";"9100";"44,3";"28,8";"30,3";"38,8";"69,6";"29,8";"35,4";"10,2";"8,0"
"IJburg Zuid";"4300";"41,6";"27,1";"32,1";"35,3";"67,9";"34,5";"29,8";"13,6";"10,8"
"Frankendael";"8300";"31,1";"26,0";"42,4";"22,5";"56,8";"60,2";"15,6";"13,3";"13,4"
"Middenmeer";"11400";"39,8";"31,0";"35,6";"33,3";"62,3";"44,8";"26,9";"6,0";"5,6"
"Betondorp";"2700";"24,5";"20,9";"46,9";"11,3";"50,5";"67,8";"5,6";"17,6";"18,2"
"De Omval";"2500";"32,3";"29,6";"55,6";"22,5";"47,8";"71,5";"13,6";"16,2";"12,5"
"IJburg Oost";"0";".";".";".";".";".";".";".";".";"."
"Stadsdeel Noord";"69400";"26,0";"20,2";"45,7";"14,4";"53,6";"54,3";"12,3";"15,3";"13,9"
"Volewijck";"7500";"21,9";"17,3";"53,2";"8,0";"50,8";"67,9";"5,9";"22,5";"19,8"
"Ijplein/Vogelbuurt";"6400";"23,4";"18,5";"49,9";"10,6";"52,1";"64,1";"6,5";"21,0";"19,3"
"Tuindorp Nieuwendam";"2900";"24,8";"20,7";"44,5";"11,5";"52,9";"59,0";"9,5";"10,1";"12,2"
"Tuindorp Buiksloot";"1500";"23,7";"19,6";"47,6";"10,5";"52,5";"58,7";"8,3";"13,9";"13,7"
"Nieuwendammerdijk/Buiksloterdijk";"1200";"47,3";"34,1";"27,3";"41,4";"66,1";"16,1";"53,3";"4,3";"3,7"
"Tuindorp Oostzaan";"8400";"25,3";"20,0";"43,7";"13,4";"55,9";"54,5";"11,1";"12,8";"12,5"
"Oostzanerwerf";"6800";"28,7";"22,6";"39,1";"18,6";"59,5";"42,0";"19,2";"9,6";"8,7"
"Kadoelen";"2300";"33,0";"26,3";"36,5";"22,9";"61,1";"33,7";"28,7";"7,1";"6,4"
"Nieuwendam-Noord";"9400";"24,1";"17,4";"48,0";"11,9";"51,3";"52,7";"9,1";"17,3";"15,0"
"Buikslotermeer";"9900";"26,1";"20,3";"45,9";"15,2";"51,0";"55,2";"11,3";"14,4";"13,0"
"Banne Buiksloot";"10100";"24,3";"18,2";"47,8";"12,5";"50,5";"55,1";"10,6";"16,5";"14,8"
"Buiksloterham";"1300";"38,2";"32,7";"43,1";"32,1";"57,7";"55,6";"24,7";"12,1";"9,7"
"Nieuwendammerham";"100";"24,0";"20,2";"50,0";"12,7";"59,0";".";".";".";"."
"Waterland";"1700";"39,5";"31,0";"35,1";"31,8";"62,8";"23,1";"40,6";"5,0";"5,1"
"Stadsdeel Zuidoost";"64100";"24,2";"19,0";"47,9";"12,0";"52,5";"60,2";"8,8";"19,2";"18,2"
"Amstel III/Bullewijk";"100";"55,9";"49,9";"20,5";"35,6";"84,2";"49,1";"16,7";".";"."
"Bijlmer-Centrum (D, F, H)";"17100";"21,8";"16,8";"53,2";"8,8";"51,1";"68,8";"5,4";"24,2";"21,8"
"Bijlmer-Oost (E, G, K)";"20400";"23,9";"18,7";"49,3";"11,9";"51,6";"61,3";"8,3";"20,3";"20,1"
"Nellestein";"2400";"32,7";"27,1";"27,5";"24,5";"62,3";"44,7";"10,4";"7,1";"6,5"
"Holendrecht/Reigersbos";"14000";"23,7";"18,5";"48,3";"10,8";"49,6";"58,6";"8,8";"18,0";"17,6"
"Gein";"9000";"26,9";"21,5";"41,3";"15,5";"56,8";"49,2";"14,4";"14,6";"13,0"
"Driemond";"1200";"31,1";"24,7";"36,4";"22,3";"63,2";"34,5";"26,7";"5,1";"5,7"
"Bron: CBS"
