"","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Regioaanduiding.Indelingswijziging.wijken.en.buurten..code.","Bevolking.Aantal.inwoners..aantal.","Bevolking.Geslacht.Mannen..aantal.","Bevolking.Geslacht.Vrouwen..aantal.","Bevolking.Leeftijdsgroepen.0.tot.15.jaar..aantal.","Bevolking.Leeftijdsgroepen.15.tot.25.jaar..aantal.","Bevolking.Leeftijdsgroepen.25.tot.45.jaar..aantal.","Bevolking.Leeftijdsgroepen.45.tot.65.jaar..aantal.","Bevolking.Leeftijdsgroepen.65.jaar.of.ouder..aantal.","Bevolking.Burgerlijke.staat.Ongehuwd..aantal.","Bevolking.Burgerlijke.staat.Gehuwd..aantal.","Bevolking.Burgerlijke.staat.Gescheiden..aantal.","Bevolking.Burgerlijke.staat.Verweduwd..aantal.","Bevolking.Personen.met.een.migratieachtergrond.Westers.totaal..aantal.","Bevolking.Personen.met.een.migratieachtergrond.Niet.westers.Niet.westers.totaal..aantal.","Bevolking.Personen.met.een.migratieachtergrond.Niet.westers.Marokko..aantal.","Bevolking.Personen.met.een.migratieachtergrond.Niet.westers.Nederlandse.Antillen.en.Aruba..aantal.","Bevolking.Personen.met.een.migratieachtergrond.Niet.westers.Suriname..aantal.","Bevolking.Personen.met.een.migratieachtergrond.Niet.westers.Turkije..aantal.","Bevolking.Personen.met.een.migratieachtergrond.Niet.westers.Overig.niet.westers..aantal.","Bevolking.Geboorte.en.sterfte.Geboorte.totaal..aantal.","Bevolking.Geboorte.en.sterfte.Geboorte.relatief..per.1.000.inwoners.","Bevolking.Geboorte.en.sterfte.Sterfte.totaal..aantal.","Bevolking.Geboorte.en.sterfte.Sterfte.relatief..per.1.000.inwoners.","Bevolking.Particuliere.huishoudens.Huishoudens.totaal..aantal.","Bevolking.Particuliere.huishoudens.Eenpersoonshuishoudens..aantal.","Bevolking.Particuliere.huishoudens.Huishoudens.zonder.kinderen..aantal.","Bevolking.Particuliere.huishoudens.Huishoudens.met.kinderen..aantal.","Bevolking.Particuliere.huishoudens.Gemiddelde.huishoudensgrootte..aantal.","Bevolking.Bevolkingsdichtheid..aantal.inwoners.per.km..","Wonen.Woningvoorraad..aantal.","Wonen.Gemiddelde.WOZ.waarde.van.woningen..x.1.000.euro.","Wonen.Woningen.naar.type.Percentage.eengezinswoning....","Wonen.Woningen.naar.type.Percentage.meergezinswoning....","Wonen.Woningen.naar.bewoning.Percentage.bewoond....","Wonen.Woningen.naar.bewoning.Percentage.onbewoond....","Wonen.Woningen.naar.eigendom.Koopwoningen....","Wonen.Woningen.naar.eigendom.Huurwoningen.Huurwoningen.totaal....","Wonen.Woningen.naar.eigendom.Huurwoningen.In.bezit.woningcorporatie....","Wonen.Woningen.naar.eigendom.Huurwoningen.In.bezit.overige.verhuurders....","Wonen.Woningen.naar.eigendom.Eigendom.onbekend....","Wonen.Woningen.naar.bouwjaar.Bouwjaar.voor.2000....","Wonen.Woningen.naar.bouwjaar.Bouwjaar.vanaf.2000....","Energie.Gemiddeld.elektriciteitsverbruik.Gemiddeld.elektriciteitsverbruik.totaal..kWh.","Energie.Gemiddeld.elektriciteitsverbruik.Naar.woningtype.Appartement..kWh.","Energie.Gemiddeld.elektriciteitsverbruik.Naar.woningtype.Tussenwoning..kWh.","Energie.Gemiddeld.elektriciteitsverbruik.Naar.woningtype.Hoekwoning..kWh.","Energie.Gemiddeld.elektriciteitsverbruik.Naar.woningtype.Twee.onder.één.kap.woning..kWh.","Energie.Gemiddeld.elektriciteitsverbruik.Naar.woningtype.Vrijstaande.woning..kWh.","Energie.Gemiddeld.elektriciteitsverbruik.Naar.eigendom.Huurwoning..kWh.","Energie.Gemiddeld.elektriciteitsverbruik.Naar.eigendom.Eigen.woning..kWh.","Energie.Gemiddeld.aardgasverbruik.Gemiddeld.aardgasverbruik.totaal..m..","Energie.Gemiddeld.aardgasverbruik.Naar.woningtype.Appartement..m..","Energie.Gemiddeld.aardgasverbruik.Naar.woningtype.Tussenwoning..m..","Energie.Gemiddeld.aardgasverbruik.Naar.woningtype.Hoekwoning..m..","Energie.Gemiddeld.aardgasverbruik.Naar.woningtype.Twee.onder.één.kap.woning..m..","Energie.Gemiddeld.aardgasverbruik.Naar.woningtype.Vrijstaande.woning..m..","Energie.Gemiddeld.aardgasverbruik.Naar.eigendom.Huurwoning..m..","Energie.Gemiddeld.aardgasverbruik.Naar.eigendom.Eigen.woning..m..","Energie.Gemiddeld.aardgasverbruik.Percentage.woningen.met.stadsverwarming....","Inkomen.Inkomen.van.personen.Aantal.inkomensontvangers....aantal.","Inkomen.Inkomen.van.personen.Gemiddeld.inkomen.per.inkomensontvanger...x.1.000.euro.","Inkomen.Inkomen.van.personen.Gemiddeld.inkomen.per.inwoner...x.1.000.euro.","Inkomen.Inkomen.van.personen.40..personen.met.laagste.inkomen....","Inkomen.Inkomen.van.personen.20..personen.met.hoogste.inkomen....","Inkomen.Inkomen.van.personen.Actieven.15.75.jaar....","Inkomen.Inkomen.van.huishoudens.40..huishoudens.met.laagste.inkomen....","Inkomen.Inkomen.van.huishoudens.20..huishoudens.met.hoogste.inkomen....","Inkomen.Inkomen.van.huishoudens.Huishoudens.met.een.laag.inkomen....","Inkomen.Inkomen.van.huishoudens.Huish..onder.of.rond.sociaal.minimum....","Sociale.zekerheid.Personen.per.soort.uitkering..Bijstand..aantal.","Sociale.zekerheid.Personen.per.soort.uitkering..AO..aantal.","Sociale.zekerheid.Personen.per.soort.uitkering..WW..aantal.","Sociale.zekerheid.Personen.per.soort.uitkering..AOW..aantal.","Bedrijfsvestigingen..SBI.2008.Bedrijfsvestigingen.totaal..aantal.","Bedrijfsvestigingen..SBI.2008.Bedrijfsvestigingen.naar.activiteit.A.Landbouw..bosbouw.en.visserij..aantal.","Bedrijfsvestigingen..SBI.2008.Bedrijfsvestigingen.naar.activiteit.B.F.Nijverheid.en.energie..aantal.","Bedrijfsvestigingen..SBI.2008.Bedrijfsvestigingen.naar.activiteit.G.I.Handel.en.horeca..aantal.","Bedrijfsvestigingen..SBI.2008.Bedrijfsvestigingen.naar.activiteit.H.J.Vervoer..informatie.en.communicatie..aantal.","Bedrijfsvestigingen..SBI.2008.Bedrijfsvestigingen.naar.activiteit.K.L.Financiële.diensten..onroerend.goed..aantal.","Bedrijfsvestigingen..SBI.2008.Bedrijfsvestigingen.naar.activiteit.M.N.Zakelijke.dienstverlening..aantal.","Bedrijfsvestigingen..SBI.2008.Bedrijfsvestigingen.naar.activiteit.R.U.Cultuur..recreatie..overige.diensten..aantal.","Motorvoertuigen.Personenauto.s.Personenauto.s.totaal..aantal.","Motorvoertuigen.Personenauto.s.Personenauto.s..leeftijd.Personenauto.s..jonger.dan.6.jaar..aantal.","Motorvoertuigen.Personenauto.s.Personenauto.s..leeftijd.Personenauto.s..6.jaar.en.ouder..aantal.","Motorvoertuigen.Personenauto.s.Personenauto.s..brandstoftype.Personenauto.s..brandstof.benzine..aantal.","Motorvoertuigen.Personenauto.s.Personenauto.s..brandstoftype.Personenauto.s..overige.brandstof..aantal.","Motorvoertuigen.Personenauto.s.Personenauto.s.per.huishouden..per.huishouden.","Motorvoertuigen.Personenauto.s.Personenauto.s.naar.oppervlakte..per.km..","Motorvoertuigen.Motorfietsen..aantal.","Nabijheid.voorzieningen.Afstand.tot.huisartsenpraktijk..km.","Nabijheid.voorzieningen.Afstand.tot.grote.supermarkt..km.","Nabijheid.voorzieningen.Afstand.tot.kinderdagverblijf..km.","Nabijheid.voorzieningen.Basisonderwijs.Afstand.tot.school..km.","Nabijheid.voorzieningen.Basisonderwijs.Scholen.binnen.3.km..aantal.","Oppervlakte.Oppervlakte.totaal..ha.","Oppervlakte.Oppervlakte.land..ha.","Oppervlakte.Oppervlakte.water..ha.","Postcode.Meest.voorkomende.postcode..code.","Postcode.Dekkingspercentage..code.","Stedelijkheid.Mate.van.stedelijkheid..code.","Stedelijkheid.Omgevingsadressendichtheid..per.km..","Criminaliteit.Totaal.diefstal.uit.woning.schuur.e.d...per.1.000.inwoners.","Criminaliteit.Vernieling..misdrijf.tegen.openbare.orde..per.1.000.inwoners.","Criminaliteit.Gewelds..en.seksuele.misdrijven..per.1.000.inwoners."
"1","Nederland","Nederland                               ","Land      ","NL00      ",".",17081507,8475102,8606405,2781768,2101648,4214276,4824155,3159660,8201061,6718468,1302258,859720,1689030,2173723,391088,152934,349978,400367,879356,169836,9,150214,8,7794075,2961228,2247191,2585656,"     2.2","     507",7686175,"     216","      64","      36","      95","       5","      56","      43","      29","      13","       1","      85","      15","    2860","    2050","    2990","    3100","    3430","    4040","    2210","    3330","    1240","     840","    1190","    1430","    1680","    2200","    1010","    1470","     5.6",13396700,"    32.0","    25.7","    40.0","    20.0","    59.3","    40.0","    20.0","     7.9","     7.2","  471190","  744330","  340610"," 3015730"," 1508540","   74815","  230745","  325275","  129490","  151660","  397200","  199360",8222975,2717530,5505445,6509000,1713975,"     1.1","     244",655990,"     1.0","     0.9","     0.8","     0.7","    11.2",4154302,3367996,786306,"         .","       .","       2","    1969","       .","       .","       ."
"2","Amsterdam","Amsterdam                               ","Gemeente  ","GM0363    ",".",844947,418127,426820,126764,109253,299004,207391,102535,540744,205809,74162,24232,147614,296073,75758,12269,65468,43168,99410,10857,12,5169,6,462329,255703,94028,112598,"     1.8","    5111",428035,"     290","      12","      88","      94","       6","      30","      70","      42","      28","       1","      86","      14","    2160","    2010","    2990","    2970","    3390","    4320","    1960","    2530","     850","     840","    1060","    1260","    1550","    2240","     860","     950","    10.8",663300,"    35.7","    28.9","    40.3","    23.4","    61.4","    52.1","    16.7","    13.7","    13.1","   42610","   34980","   17330","   96860","  118200","     110","    8305","   20380","   16040","   10850","   39550","   22970",233715,69755,163960,183460,50255,"     0.5","    1414",18750,"     0.5","     0.5","     0.4","     0.5","    28.5",21949,16533,5416,"         .","       .","       1","    6004","       6","       6","       9"
"3","Burgwallen-Oude Zijde","Amsterdam                               ","Wijk      ","WK036300  ","1",4245,2340,1905,245,645,2050,945,365,3270,655,275,60,1310,625,25,45,80,35,445,35,8,10,3,3050,2165,630,260,"     1.4","   12157",2870,"     341","       5","      95","      79","      21","      19","      77","      12","      65","       4","      95","       5","    2050","    1980","    2980","       .","       .","       .","    1910","    2340","    1060","    1010","    1670","       .","       .","       .","     990","    1160","       .",3700,"    35.0","    31.5","    38.6","    24.8","    70.7","    59.4","    13.1","    15.3","    14.6","     100","      70","      80","     340","    1945","       0","      50","     640","     180","     170","     440","     460",750,210,540,585,165,"     0.2","    2146",125,"     0.2","     0.3","     0.3","     0.5","    34.0",40,35,6,"         .","       .","       1","    7563","       6","      21","      53"
"4","Kop Zeedijk","Amsterdam                               ","Buurt     ","BU03630000","1",1020,585,435,50,135,525,255,65,780,170,65,15,325,150,0,10,25,10,105,5,6,0,0,740,515,180,55,"     1.4","   16867",740,"     307","       4","      96","      79","      21","      21","      76","       3","      74","       3","      97","       3","    1960","    1940","    2410","       .","       .","       .","    1860","    2230","    1030","    1010","    1460","       .","       .","       .","     980","    1190","       .",900,"    37.2","    34.3","    31.9","    28.0","    74.7","    54.5","    13.5","    12.3","    11.0","      20","      30","      20","      60","     395","       0","      10","     180","      30","      25","      80","      70",140,35,100,115,25,"     0.2","    2290",25,"     0.3","     0.2","     0.2","     0.4","    29.7",8,6,2,"      1012","       1","       1","    6662","       6","      18","      50"
"5","Oude Kerk e.o.","Amsterdam                               ","Buurt     ","BU03630001","1",660,365,295,20,130,320,140,55,535,70,55,15,210,95,5,10,10,5,70,5,7,0,3,495,375,95,35,"     1.3","    7524",486,"     323","       6","      94","      75","      25","      12","      83","      28","      54","       6","      86","      14","    2310","    2110","    2210","       .","       .","       .","    1980","    2590","    1070","     940","    1290","       .","       .","       .","     960","    1000","       .",600,"    31.1","    29.1","    45.2","    21.7","    68.8","    66.7","    12.6","    21.6","    19.2","      30","      20","      10","      50","     440","       0","      10","     135","      30","      55","      85","     120",110,45,65,90,20,"     0.2","    1247",30,"     0.3","     0.3","     0.3","     0.5","    33.5",9,9,0,"      1012","       1","       1","    7301","       6","      48","     154"
"6","Burgwallen Oost","Amsterdam                               ","Buurt     ","BU03630002","1",1580,840,735,120,240,745,325,155,1215,250,105,20,505,255,10,15,30,10,195,10,8,5,2,1095,755,240,110,"     1.4","   25369",990,"     327","       4","      96","      82","      18","      19","      79","       7","      71","       3","      96","       4","    1960","    1910","    3960","       .","       .","       .","    1860","    2320","    1040","    1000","    2140","       .","       .","       .","     970","    1140","       .",1300,"    31.8","    27.8","    40.8","    21.2","    69.5","    60.2","    11.4","    15.9","    16.0","      30","      20","      30","     150","     605","       0","      20","     190","      55","      40","     135","     165",280,60,220,215,65,"     0.3","    4525",40,"     0.2","     0.2","     0.3","     0.4","    35.2",7,6,1,"      1012","       1","       1","    7431","       4","      16","      32"
"7","Nes e.o.","Amsterdam                               ","Buurt     ","BU03630003","1",360,190,165,20,65,195,60,20,285,60,20,5,120,35,0,0,5,5,25,0,8,0,2,260,195,55,15,"     1.4","    6752",257,"     417","      10","      90","      70","      30","      29","      63","       2","      61","       7","      98","       2","    2350","    2290","       .","       .","       .","       .","    2480","    2090","    1200","    1160","    1970","       .","       .","       .","    1240","    1140","       .",300,"    40.2","    35.4","    36.1","    31.5","    71.9","    56.2","    17.9","    10.7","    10.2","       0","       0","      10","      20","     290","       0","       5","      90","      45","      40","      65","      50",105,35,70,75,30,"     0.4","    2001",20,"     0.3","     0.4","     0.4","     0.8","    36.8",6,5,0,"      1012","       1","       1","    9795","       6","      11","      50"
"8","BG-terrein e.o.","Amsterdam                               ","Buurt     ","BU03630004","1",615,345,265,35,85,270,165,70,465,115,35,10,160,90,10,5,15,5,55,5,11,5,8,445,335,70,50,"     1.4","    7299",397,"     410","       7","      93","      85","      15","      20","      78","      27","      51","       2","     100","       0","    2040","    1930","    3300","       .","       .","       .","    1840","    2660","    1060","    1020","    1760","       .","       .","       .","    1010","    1290","       .",500,"    40.9","    36.8","    38.4","    28.0","    68.0","    59.5","    14.5","    14.7","    14.7","      20","      10","      10","      70","     215","       0","       5","      50","      25","      10","      70","      55",110,30,85,85,25,"     0.3","    1323",15,"     0.2","     0.5","     0.3","     0.7","    36.8",10,8,2,"      1012","       1","       1","    8349","       8","      15","       3"
"9","Burgwallen-Nieuwe Zijde","Amsterdam                               ","Wijk      ","WK036301  ","1",3990,2135,1850,220,550,2145,785,290,3155,560,250,30,1360,610,30,25,65,35,455,35,8,5,1,2905,2085,635,195,"     1.4","    6986",2825,"     355","       6","      94","      79","      21","      22","      74","       7","      66","       4","      99","       1","    2130","    2060","    2780","       .","       .","       .","    1880","    2590","    1020","     980","    1580","       .","       .","       .","     960","    1100","       .",3400,"    38.4","    34.5","    35.4","    27.0","    72.6","    57.6","    13.9","    13.1","    12.0","      80","      70","      80","     270","    2210","       0","      65","     960","     205","     170","     460","     350",745,280,465,560,185,"     0.3","    1306",110,"     0.4","     0.3","     0.6","     0.8","    34.7",73,57,16,"         .","       .","       1","    9184","       5","      28","      96"
"10","Stationsplein e.o.","Amsterdam                               ","Buurt     ","BU03630100","1",0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,"     1.0","       .",0,"       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .",0,"       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","      55","       0","       5","      35","       5","       5","       5","       0",5,0,0,0,0,"       .","       .",0,"       .","       .","       .","       .","       .",26,14,12,"      1012","       1","       1","    6379","       .","       .","       ."
"11","Hemelrijk","Amsterdam                               ","Buurt     ","BU03630101","1",530,285,245,20,75,295,115,35,440,55,40,5,185,70,5,10,15,5,35,0,3,0,1,410,315,80,25,"     1.3","    9592",393,"     324","       3","      97","      78","      22","      30","      66","       3","      63","       4","      99","       1","    2000","    1990","       .","       .","       .","       .","    1760","    2360","     870","     870","       .","       .","       .","       .","     890","     840","       .",500,"    41.3","    38.8","    36.0","    27.8","    75.3","    54.4","    13.7","    13.5","    10.8","      10","      20","      10","      40","     290","       0","       5","     105","      35","      25","      75","      40",105,30,75,80,25,"     0.3","    1933",10,"     0.3","     0.3","     0.7","     0.5","    31.2",6,6,1,"      1012","       1","       1","    8778","       4","      26","      68"
