wijk,gem_inkomen
Houthavens,51.5
Spaarndammer- en Zeeheldenbuurt,30.7
Staatsliedenbuurt,35.3
Centrale Markt,36.3
Frederik Hendrikbuurt,37.6
Da Costabuurt,41.7
Kinkerbuurt,36.5
Van Lennepbuurt,32.5
Helmersbuurt,46.7
Overtoomse Sluis,45.1
Vondelbuurt,71.8
Sloterdijk,45.1
Landlust,28.8
Erasmuspark,33.3
De Kolenkit,24.9
Geuzenbuurt,35.9
Van Galenbuurt,28.5
Hoofdweg e.o.,31.1
Westindische Buurt,38.6
Chassébuurt,32.3
Zuidas,57.5
Oude Pijp,39.3
Nieuwe Pijp,37.6
Zuid Pijp,28.4
Hoofddorppleinbuurt,43.1
Schinkelbuurt,40.3
Willemspark,95.3
Museumkwartier,83
Stadionbuurt,41
Apollobuurt,90.2
Scheldebuurt,46.3
IJselbuurt,32.9
Rijnbuurt,35.5
Prinses Irenebuurt e.o.,79.9
Buitenveldert-West,43.6
Buitenveldert-Oost,40.1
