wijk,gem_inkomen,gem_inkomen_per_maand,stadsdeel,huurprijs,Rent_burden
Houthavens,25.8,2150,West,628,29.209302325581394
Spaarndammer- en Zeeheldenbuurt,28.7,2391.6666666666665,West,628,26.257839721254356
Staatsliedenbuurt,33.6,2800,West,628,22.428571428571427
Centrale Markt,33.8,2816.6666666666665,West,628,22.295857988165682
Frederik Hendrikbuurt,35.1,2925,West,628,21.470085470085472
Da Costabuurt,37.6,3133.3333333333335,West,628,20.04255319148936
Kinkerbuurt,30.3,2525,West,628,24.871287128712872
Van Lennepbuurt,30.2,2516.6666666666665,West,628,24.95364238410596
Helmersbuurt,44.3,3691.6666666666665,West,628,17.011286681715575
Overtoomse Sluis,41.8,3483.3333333333335,West,628,18.028708133971293
Vondelbuurt,68.6,5716.666666666667,West,628,10.98542274052478
Sloterdijk,44.6,3716.6666666666665,West,628,16.896860986547086
Landlust,26.9,2241.6666666666665,West,628,28.01486988847584
Erasmuspark,30.9,2575,West,628,24.388349514563107
De Kolenkit,22.3,1858.3333333333333,West,628,33.79372197309417
Van Galenbuurt,24.4,2033.3333333333333,West,628,30.885245901639347
Oude Pijp,36.3,3025,Zuid,781,25.818181818181817
Nieuwe Pijp,35.2,2933.3333333333335,Zuid,781,26.625
Hoofddorppleinbuurt,39.9,3325,Zuid,781,23.48872180451128
Schinkelbuurt,38.4,3200,Zuid,781,24.40625
Willemspark,82.6,6883.333333333333,Zuid,781,11.346246973365618
Museumkwartier,84.1,7008.333333333333,Zuid,781,11.143876337693223
Stadionbuurt,38.4,3200,Zuid,781,24.40625
Apollobuurt,76.4,6366.666666666667,Zuid,781,12.267015706806282
Scheldebuurt,43.1,3591.6666666666665,Zuid,781,21.74477958236659
IJselbuurt,32,2666.6666666666665,Zuid,781,29.2875
Rijnbuurt,32.4,2700,Zuid,781,28.925925925925927
Buitenveldert-West,42.3,3525,Zuid,781,22.156028368794324
Buitenveldert-Oost,38.3,3191.6666666666665,Zuid,781,24.46997389033943
