wijk,gem_inkomen,gem_inkomen_per_maand,stadsdeel,huurprijs,Rent_burden,jaar
Houthavens,51.5,4291.666666666667,West,731,17.03300970873786,2017
Spaarndammer- en Zeeheldenbuurt,30.7,2558.3333333333335,West,731,28.57328990228013,2017
Staatsliedenbuurt,35.3,2941.6666666666665,West,731,24.84985835694051,2017
Centrale Markt,36.3,3025,West,731,24.165289256198346,2017
Frederik Hendrikbuurt,37.6,3133.3333333333335,West,731,23.329787234042552,2017
Da Costabuurt,41.7,3475,West,731,21.035971223021583,2017
Kinkerbuurt,36.5,3041.6666666666665,West,731,24.03287671232877,2017
Van Lennepbuurt,32.5,2708.3333333333335,West,731,26.990769230769228,2017
Helmersbuurt,46.7,3891.6666666666665,West,731,18.78372591006424,2017
Overtoomse Sluis,45.1,3758.3333333333335,West,731,19.45011086474501,2017
Vondelbuurt,71.8,5983.333333333333,West,731,12.217270194986073,2017
Sloterdijk,45.1,3758.3333333333335,West,731,19.45011086474501,2017
Landlust,28.8,2400,West,731,30.458333333333332,2017
Erasmuspark,33.3,2775,West,731,26.34234234234234,2017
De Kolenkit,24.9,2075,West,731,35.2289156626506,2017
Geuzenbuurt,35.9,2991.6666666666665,West,731,24.434540389972145,2017
Van Galenbuurt,28.5,2375,West,731,30.77894736842105,2017
Hoofdweg e.o.,31.1,2591.6666666666665,West,731,28.205787781350484,2017
Westindische Buurt,38.6,3216.6666666666665,West,731,22.72538860103627,2017
Chassébuurt,32.3,2691.6666666666665,West,731,27.15789473684211,2017
Zuidas,57.5,4791.666666666667,Zuid,861,17.968695652173913,2017
Oude Pijp,39.3,3275,Zuid,861,26.29007633587786,2017
Nieuwe Pijp,37.6,3133.3333333333335,Zuid,861,27.478723404255316,2017
Zuid Pijp,28.4,2366.6666666666665,Zuid,861,36.38028169014085,2017
Hoofddorppleinbuurt,43.1,3591.6666666666665,Zuid,861,23.97215777262181,2017
Schinkelbuurt,40.3,3358.3333333333335,Zuid,861,25.63771712158809,2017
Willemspark,95.3,7941.666666666667,Zuid,861,10.841552990556139,2017
Museumkwartier,83,6916.666666666667,Zuid,861,12.448192771084337,2017
Stadionbuurt,41,3416.6666666666665,Zuid,861,25.2,2017
Apollobuurt,90.2,7516.666666666667,Zuid,861,11.454545454545455,2017
Scheldebuurt,46.3,3858.3333333333335,Zuid,861,22.315334773218144,2017
IJselbuurt,32.9,2741.6666666666665,Zuid,861,31.404255319148938,2017
Rijnbuurt,35.5,2958.3333333333335,Zuid,861,29.10422535211267,2017
Prinses Irenebuurt e.o.,79.9,6658.333333333333,Zuid,861,12.931163954943681,2017
Buitenveldert-West,43.6,3633.3333333333335,Zuid,861,23.69724770642202,2017
Buitenveldert-Oost,40.1,3341.6666666666665,Zuid,861,25.76558603491272,2017
